x1,x2,µA1,µA2,µB1,µB2,output
2.7,2.8,0.5163573656627473,0.15974183735451358,0.4325185196094689,0.1429920403498536,2.7508308655587794
2.8,2.7,0.431001844559085,0.1428814230082991,0.5181004929760072,0.15989864650711139,2.7496755031279876
2.7,2.3,0.5163573656627473,0.15974183735451358,0.9453722819755307,0.26434915204672876,2.4993547371389346
2.3,1.7,0.9442171165926231,0.2638201964070981,0.583026750605496,0.6509548326520566,1.9559913445347559
1.7,1.1,0.5839667420698312,0.6486788281578794,0.21134093413912947,0.9601687912136148,1.3389191530158686
1.1,0.7,0.21144294781977369,0.9620530505249504,0.12417261809976148,0.5934807534985275,0.8723087777368691
0.7,0.4,0.12416407469977454,0.5969889006842637,0.08902668560812084,0.37333239237304716,0.5311696009174196
0.4,0.3,0.08899496222946927,0.37576280250702193,0.08049320522446635,0.32184249428269435,0.3437039780969241
0.3,0.5,0.08045819551806536,0.32393702747964337,0.09893843115772263,0.43502627548542866,0.41359907786681505
0.5,0.8,0.09891173326602927,0.4378270862334928,0.14035864207906976,0.6891305081529291,0.6712349789411929
0.8,1.3,0.1403654193499332,0.6928153973350748,0.2886779860776561,0.988406382600773,1.0764208602577259
1.3,1.8,0.2889236893072906,0.9874123656822874,0.6935805664954068,0.5589755924931212,1.5345260694603788
1.8,2.3,0.694736943430755,0.5570700902638988,0.9453722819755307,0.26434915204672876,2.0322130174910704
